dataset,model,C,class_weight,train_accuracy,train_precision,train_recall,train_f1,train_auc,train_avg_precision,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_avg_precision
Dataset A,LogReg_L2_C=0.001,0.001,None,0.713,0.71,0.732,0.721,0.779,0.763,0.724,0.716,0.755,0.735,0.774,0.754
Dataset A,LogReg_L2_C=0.01,0.01,None,0.717,0.713,0.737,0.725,0.781,0.762,0.718,0.712,0.745,0.728,0.771,0.747
Dataset A,LogReg_L2_C=0.1,0.1,None,0.718,0.713,0.74,0.726,0.781,0.762,0.722,0.718,0.743,0.73,0.771,0.745
Dataset A,LogReg_L2_C=1,1.0,None,0.718,0.713,0.74,0.726,0.781,0.762,0.722,0.718,0.743,0.73,0.771,0.745
Dataset A,LogReg_L2_C=10,10.0,None,0.718,0.713,0.74,0.726,0.781,0.762,0.722,0.718,0.743,0.73,0.771,0.745
Dataset A,LogReg_L2_C=100,100.0,None,0.718,0.713,0.74,0.726,0.781,0.762,0.722,0.718,0.743,0.73,0.771,0.745
Dataset A,LogReg_L2_C=1000.0,1000.0,None,0.718,0.713,0.74,0.726,0.781,0.762,0.722,0.718,0.743,0.73,0.771,0.745
