dataset,model,max_depth,train_accuracy,train_precision,train_recall,train_f1,train_auc,train_avg_precision,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_avg_precision
Dataset A,RandomForest_depth=2,2,0.716,0.709,0.747,0.727,0.783,0.773,0.678,0.672,0.708,0.69,0.743,0.731
Dataset A,RandomForest_depth=4,4,0.78,0.778,0.79,0.784,0.85,0.841,0.721,0.718,0.738,0.728,0.792,0.773
Dataset A,RandomForest_depth=6,6,0.849,0.844,0.861,0.852,0.913,0.906,0.744,0.742,0.758,0.75,0.814,0.792
Dataset A,RandomForest_depth=8,8,0.904,0.9,0.911,0.905,0.966,0.964,0.77,0.776,0.766,0.771,0.821,0.799
Dataset A,RandomForest_depth=None,None,1.0,1.0,1.0,1.0,1.0,1.0,0.795,0.796,0.799,0.798,0.833,0.799
