dataset,model,C,class_weight,train_accuracy,train_precision,train_recall,train_f1,train_auc,train_avg_precision,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_avg_precision
Dataset B,LogReg_L2_C=0.001,0.001,None,0.95,0.0,0.0,0.0,0.811,0.257,0.95,0.0,0.0,0.0,0.831,0.264
Dataset B,LogReg_L2_C=0.01,0.01,None,0.951,1.0,0.029,0.056,0.822,0.313,0.952,1.0,0.033,0.065,0.845,0.311
Dataset B,LogReg_L2_C=0.1,0.1,None,0.953,0.9,0.064,0.12,0.822,0.345,0.951,0.6,0.05,0.092,0.845,0.322
Dataset B,LogReg_L2_C=1,1.0,None,0.954,0.857,0.086,0.156,0.821,0.348,0.952,0.714,0.083,0.149,0.844,0.327
Dataset B,LogReg_L2_C=10,10.0,None,0.954,0.857,0.086,0.156,0.821,0.349,0.952,0.714,0.083,0.149,0.844,0.327
Dataset B,LogReg_L2_C=100,100.0,None,0.954,0.857,0.086,0.156,0.821,0.349,0.952,0.714,0.083,0.149,0.844,0.327
Dataset B,LogReg_L2_C=1000.0,1000.0,None,0.954,0.857,0.086,0.156,0.821,0.349,0.952,0.714,0.083,0.149,0.844,0.327
