dataset,model,max_depth,train_accuracy,train_precision,train_recall,train_f1,train_auc,train_avg_precision,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_avg_precision
Dataset B,RandomForest_depth=2,2,0.95,0.0,0.0,0.0,0.875,0.427,0.95,0.0,0.0,0.0,0.809,0.215
Dataset B,RandomForest_depth=4,4,0.95,0.0,0.0,0.0,0.95,0.696,0.95,0.0,0.0,0.0,0.855,0.308
Dataset B,RandomForest_depth=6,6,0.955,1.0,0.1,0.182,0.994,0.937,0.951,1.0,0.017,0.033,0.891,0.389
Dataset B,RandomForest_depth=8,8,0.96,1.0,0.2,0.333,1.0,0.993,0.952,1.0,0.05,0.095,0.896,0.412
Dataset B,RandomForest_depth=None,None,1.0,1.0,1.0,1.0,1.0,1.0,0.953,1.0,0.067,0.125,0.914,0.508
