dataset,model,C,train_accuracy,train_precision,train_recall,train_f1,train_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc
Dataset B,LogReg_L2_C=0.001,0.001,0.95,0.0,0.0,0.0,0.816,0.95,0.0,0.0,0.0,0.809
Dataset B,LogReg_L2_C=0.01,0.01,0.95,1.0,0.007,0.014,0.83,0.952,1.0,0.05,0.095,0.819
Dataset B,LogReg_L2_C=0.1,0.1,0.953,0.737,0.1,0.176,0.829,0.952,0.8,0.067,0.123,0.82
Dataset B,LogReg_L2_C=1,1.0,0.954,0.739,0.121,0.209,0.829,0.954,0.857,0.1,0.179,0.819
Dataset B,LogReg_L2_C=10,10.0,0.954,0.739,0.121,0.209,0.828,0.954,0.857,0.1,0.179,0.819
Dataset B,LogReg_L2_C=100,100.0,0.954,0.739,0.121,0.209,0.828,0.954,0.857,0.1,0.179,0.819
Dataset B,LogReg_L2_C=1000.0,1000.0,0.954,0.739,0.121,0.209,0.828,0.954,0.857,0.1,0.179,0.819
